age,sex,lx,data_status
25,female,98757.471329,synthetic_example_not_for_analysis
26,female,98708.092593,synthetic_example_not_for_analysis
27,female,98658.738547,synthetic_example_not_for_analysis
28,female,98609.409178,synthetic_example_not_for_analysis
29,female,98560.104473,synthetic_example_not_for_analysis
30,female,98510.824421,synthetic_example_not_for_analysis
31,female,98461.569009,synthetic_example_not_for_analysis
32,female,98412.338224,synthetic_example_not_for_analysis
33,female,98363.132055,synthetic_example_not_for_analysis
34,female,98313.950489,synthetic_example_not_for_analysis
35,female,98264.793514,synthetic_example_not_for_analysis
36,female,98215.661117,synthetic_example_not_for_analysis
37,female,98166.553286,synthetic_example_not_for_analysis
38,female,98117.47001,synthetic_example_not_for_analysis
39,female,98068.411275,synthetic_example_not_for_analysis
40,female,98019.377069,synthetic_example_not_for_analysis
41,female,97970.367381,synthetic_example_not_for_analysis
42,female,97921.382197,synthetic_example_not_for_analysis
43,female,97872.421506,synthetic_example_not_for_analysis
44,female,97823.485295,synthetic_example_not_for_analysis
45,female,97774.573552,synthetic_example_not_for_analysis
46,female,97725.686266,synthetic_example_not_for_analysis
47,female,97676.823423,synthetic_example_not_for_analysis
48,female,97627.985011,synthetic_example_not_for_analysis
49,female,97579.171018,synthetic_example_not_for_analysis
50,female,97271.79663,synthetic_example_not_for_analysis
51,female,96936.281885,synthetic_example_not_for_analysis
52,female,96570.160455,synthetic_example_not_for_analysis
53,female,96170.771671,synthetic_example_not_for_analysis
54,female,95735.249638,synthetic_example_not_for_analysis
55,female,95260.5127,synthetic_example_not_for_analysis
56,female,94743.253548,synthetic_example_not_for_analysis
57,female,94179.93029,synthetic_example_not_for_analysis
58,female,93566.758916,synthetic_example_not_for_analysis
59,female,92899.70765,synthetic_example_not_for_analysis
60,female,92174.493795,synthetic_example_not_for_analysis
61,female,91386.58377,synthetic_example_not_for_analysis
62,female,90531.197202,synthetic_example_not_for_analysis
63,female,89603.31602,synthetic_example_not_for_analysis
64,female,88597.69972,synthetic_example_not_for_analysis
65,female,87508.908054,synthetic_example_not_for_analysis
66,female,86331.332652,synthetic_example_not_for_analysis
67,female,85059.239178,synthetic_example_not_for_analysis
68,female,83686.82185,synthetic_example_not_for_analysis
69,female,82208.272266,synthetic_example_not_for_analysis
70,female,80617.864608,synthetic_example_not_for_analysis
71,female,78910.059348,synthetic_example_not_for_analysis
72,female,77079.627575,synthetic_example_not_for_analysis
73,female,75121.79792,synthetic_example_not_for_analysis
74,female,73032.427762,synthetic_example_not_for_analysis
75,female,70808.199929,synthetic_example_not_for_analysis
76,female,68446.845344,synthetic_example_not_for_analysis
77,female,65947.391,synthetic_example_not_for_analysis
78,female,63310.431198,synthetic_example_not_for_analysis
79,female,60538.418078,synthetic_example_not_for_analysis
80,female,57635.965068,synthetic_example_not_for_analysis
81,female,54610.153927,synthetic_example_not_for_analysis
82,female,51470.832617,synthetic_example_not_for_analysis
83,female,48230.8873,synthetic_example_not_for_analysis
84,female,44906.467522,synthetic_example_not_for_analysis
85,female,41517.139373,synthetic_example_not_for_analysis
86,female,38085.937533,synthetic_example_not_for_analysis
87,female,34639.28412,synthetic_example_not_for_analysis
88,female,31206.741088,synthetic_example_not_for_analysis
89,female,27820.564369,synthetic_example_not_for_analysis
90,female,24515.0332,synthetic_example_not_for_analysis
91,female,21325.538199,synthetic_example_not_for_analysis
92,female,18287.427742,synthetic_example_not_for_analysis
93,female,15434.63447,synthetic_example_not_for_analysis
94,female,12798.13222,synthetic_example_not_for_analysis
95,female,10404.306608,synthetic_example_not_for_analysis
96,female,8273.357009,synthetic_example_not_for_analysis
97,female,6417.878535,synthetic_example_not_for_analysis
98,female,4841.793056,synthetic_example_not_for_analysis
99,female,3539.800154,synthetic_example_not_for_analysis
100,female,2497.494109,synthetic_example_not_for_analysis
101,female,1692.236005,synthetic_example_not_for_analysis
102,female,1094.780342,synthetic_example_not_for_analysis
103,female,671.541165,synthetic_example_not_for_analysis
104,female,387.261609,synthetic_example_not_for_analysis
105,female,207.750407,synthetic_example_not_for_analysis
106,female,102.30125,synthetic_example_not_for_analysis
107,female,45.442634,synthetic_example_not_for_analysis
108,female,17.786405,synthetic_example_not_for_analysis
109,female,5.93331,synthetic_example_not_for_analysis
110,female,1.603641,synthetic_example_not_for_analysis
